-----------------------------------------------------------
Server listening on 9002 (test #1)
-----------------------------------------------------------
Accepted connection from 10.113.0.2, port 45877
[  6] local 10.113.0.1 port 9002 connected to 10.113.0.2 port 41236
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6] 177.00-178.00 sec   120 KBytes   985 Kbits/sec  0.265 ms  1299/1384 (94%)  
[  6] 178.00-179.00 sec   120 KBytes   985 Kbits/sec  0.509 ms  1303/1388 (94%)  
[  6] 179.00-180.00 sec   119 KBytes   973 Kbits/sec  0.523 ms  1286/1370 (94%)  
[  6] 180.00-181.00 sec   120 KBytes   985 Kbits/sec  0.210 ms  1302/1387 (94%)  
[  6] 181.00-182.00 sec   120 KBytes   985 Kbits/sec  0.535 ms  1301/1386 (94%)  
[  6] 182.00-183.00 sec   119 KBytes   973 Kbits/sec  0.320 ms  1284/1368 (94%)  
[  6] 183.00-184.00 sec   120 KBytes   985 Kbits/sec  0.267 ms  1302/1387 (94%)  
[  6] 184.00-185.00 sec   120 KBytes   984 Kbits/sec  0.829 ms  1303/1388 (94%)  
[  6] 185.00-186.00 sec   119 KBytes   974 Kbits/sec  0.491 ms  1287/1371 (94%)  
[  6] 186.00-187.00 sec   120 KBytes   985 Kbits/sec  0.366 ms  1300/1385 (94%)  
[  6] 187.00-188.00 sec   120 KBytes   985 Kbits/sec  0.206 ms  1302/1387 (94%)  
[  6] 188.00-189.00 sec   119 KBytes   973 Kbits/sec  0.160 ms  1284/1368 (94%)  
[  6] 189.00-190.00 sec   120 KBytes   985 Kbits/sec  0.473 ms  1304/1389 (94%)  
[  6] 190.00-191.00 sec   120 KBytes   984 Kbits/sec  0.281 ms  1296/1381 (94%)  
[  6] 191.00-192.00 sec   119 KBytes   974 Kbits/sec  0.352 ms  1285/1369 (94%)  
[  6] 192.00-193.00 sec   120 KBytes   984 Kbits/sec  0.502 ms  1305/1390 (94%)  
[  6] 193.00-194.00 sec   120 KBytes   985 Kbits/sec  0.430 ms  1300/1385 (94%)  
[  6] 194.00-195.00 sec   120 KBytes   984 Kbits/sec  0.855 ms  1304/1389 (94%)  
[  6] 195.00-196.00 sec   119 KBytes   973 Kbits/sec  0.238 ms  1286/1370 (94%)  
[  6] 196.00-197.00 sec   120 KBytes   985 Kbits/sec  0.446 ms  1302/1387 (94%)  
[  6] 197.00-198.00 sec   120 KBytes   985 Kbits/sec  0.180 ms  1300/1385 (94%)  
[  6] 198.00-199.00 sec   119 KBytes   973 Kbits/sec  0.519 ms  1287/1371 (94%)  
[  6] 199.00-200.00 sec   120 KBytes   985 Kbits/sec  0.654 ms  1300/1385 (94%)  
[  6] 200.00-201.00 sec   120 KBytes   985 Kbits/sec  0.238 ms  1301/1386 (94%)  
[  6] 201.00-202.00 sec   119 KBytes   973 Kbits/sec  0.232 ms  1288/1372 (94%)  
[  6] 202.00-203.00 sec   120 KBytes   985 Kbits/sec  0.178 ms  1302/1387 (94%)  
[  6] 203.00-204.00 sec   120 KBytes   985 Kbits/sec  0.202 ms  1300/1385 (94%)  
[  6] 204.00-205.00 sec   119 KBytes   972 Kbits/sec  1.671 ms  1286/1370 (94%)  
[  6] 205.00-206.00 sec   120 KBytes   985 Kbits/sec  0.218 ms  1302/1387 (94%)  
[  6] 206.00-207.00 sec   120 KBytes   985 Kbits/sec  0.309 ms  1301/1386 (94%)  
[  6] 207.00-208.00 sec   120 KBytes   985 Kbits/sec  0.287 ms  1300/1385 (94%)  
[  6] 208.00-209.00 sec   119 KBytes   973 Kbits/sec  0.220 ms  1284/1368 (94%)  
[  6] 209.00-210.00 sec   120 KBytes   984 Kbits/sec  0.397 ms  1305/1390 (94%)  
[  6] 210.00-211.00 sec   120 KBytes   986 Kbits/sec  0.248 ms  1300/1385 (94%)  
[  6] 211.00-212.00 sec   119 KBytes   973 Kbits/sec  0.468 ms  1285/1369 (94%)  
[  6] 212.00-213.00 sec   120 KBytes   984 Kbits/sec  0.495 ms  1303/1388 (94%)  
[  6] 213.00-214.00 sec   120 KBytes   985 Kbits/sec  0.443 ms  1302/1387 (94%)  
[  6] 214.00-215.00 sec   119 KBytes   973 Kbits/sec  1.365 ms  1285/1369 (94%)  
[  6] 215.00-216.00 sec   120 KBytes   984 Kbits/sec  0.291 ms  1302/1387 (94%)  
[  6] 216.00-217.00 sec   120 KBytes   985 Kbits/sec  0.378 ms  1301/1386 (94%)  
[  6] 217.00-218.00 sec   119 KBytes   973 Kbits/sec  0.262 ms  1286/1370 (94%)  
[  6] 218.00-219.00 sec   120 KBytes   984 Kbits/sec  0.328 ms  1301/1386 (94%)  
[  6] 219.00-220.00 sec   120 KBytes   985 Kbits/sec  0.339 ms  1299/1384 (94%)  
[  6] 220.00-221.00 sec   119 KBytes   973 Kbits/sec  0.271 ms  1287/1371 (94%)  
[  6] 221.00-222.00 sec   120 KBytes   985 Kbits/sec  0.309 ms  1303/1388 (94%)  
[  6] 222.00-223.00 sec   120 KBytes   984 Kbits/sec  0.171 ms  1302/1387 (94%)  
[  6] 223.00-224.00 sec   120 KBytes   985 Kbits/sec  0.340 ms  1300/1385 (94%)  
[  6] 224.00-225.00 sec   119 KBytes   973 Kbits/sec  0.745 ms  1286/1370 (94%)  
[  6] 225.00-226.00 sec   120 KBytes   985 Kbits/sec  0.163 ms  1302/1387 (94%)  
[  6] 226.00-227.00 sec   120 KBytes   984 Kbits/sec  0.284 ms  1301/1386 (94%)  
[  6] 227.00-228.00 sec   119 KBytes   973 Kbits/sec  0.180 ms  1287/1371 (94%)  
[  6] 228.00-229.00 sec   120 KBytes   984 Kbits/sec  0.273 ms  1300/1385 (94%)  
[  6] 229.00-230.00 sec   120 KBytes   985 Kbits/sec  0.655 ms  1301/1386 (94%)  
[  6] 230.00-231.00 sec   119 KBytes   973 Kbits/sec  0.222 ms  1288/1372 (94%)  
[  6] 231.00-232.00 sec   120 KBytes   984 Kbits/sec  0.384 ms  1301/1386 (94%)  
[  6] 232.00-233.00 sec   120 KBytes   985 Kbits/sec  0.124 ms  1302/1387 (94%)  
[  6] 233.00-234.00 sec   119 KBytes   973 Kbits/sec  0.442 ms  1285/1369 (94%)  
[  6] 234.00-235.00 sec   120 KBytes   985 Kbits/sec  0.592 ms  1301/1386 (94%)  
[  6] 235.00-236.00 sec   120 KBytes   985 Kbits/sec  0.317 ms  1301/1386 (94%)  
[  6] 236.00-237.00 sec   119 KBytes   973 Kbits/sec  0.349 ms  1286/1370 (94%)  
[  6] 237.00-238.00 sec   120 KBytes   984 Kbits/sec  0.225 ms  1302/1387 (94%)  
[  6] 238.00-239.00 sec   120 KBytes   985 Kbits/sec  0.314 ms  1300/1385 (94%)  
[  6] 239.00-240.00 sec   120 KBytes   985 Kbits/sec  0.610 ms  1299/1384 (94%)  
[  6] 240.00-241.00 sec   119 KBytes   973 Kbits/sec  0.244 ms  1289/1373 (94%)  
[  6] 241.00-242.00 sec   120 KBytes   985 Kbits/sec  0.506 ms  1302/1387 (94%)  
[  6] 242.00-243.00 sec   120 KBytes   985 Kbits/sec  0.339 ms  1300/1385 (94%)  
[  6] 243.00-244.00 sec   119 KBytes   973 Kbits/sec  0.267 ms  1287/1371 (94%)  
[  6] 244.00-245.00 sec   120 KBytes   985 Kbits/sec  0.804 ms  1301/1386 (94%)  
[  6] 245.00-246.00 sec   120 KBytes   985 Kbits/sec  0.303 ms  1302/1387 (94%)  
[  6] 246.00-247.00 sec   119 KBytes   973 Kbits/sec  0.226 ms  1286/1370 (94%)  
[  6] 247.00-248.00 sec   120 KBytes   985 Kbits/sec  0.341 ms  1301/1386 (94%)  
[  6] 248.00-249.00 sec   120 KBytes   985 Kbits/sec  0.286 ms  1301/1386 (94%)  
[  6] 249.00-250.00 sec   119 KBytes   973 Kbits/sec  0.463 ms  1285/1369 (94%)  
[  6] 250.00-251.00 sec   120 KBytes   984 Kbits/sec  0.294 ms  1303/1388 (94%)  
[  6] 251.00-252.00 sec   120 KBytes   985 Kbits/sec  0.271 ms  1300/1385 (94%)  
[  6] 252.00-253.00 sec   119 KBytes   972 Kbits/sec  0.152 ms  1287/1371 (94%)  
[  6] 253.00-254.00 sec   120 KBytes   985 Kbits/sec  0.305 ms  1301/1386 (94%)  
